Name,X Position (AU),Y Position (AU),X Velocity (km/s),Y Velocity (km/s)
Sun,-609.4298036692945,105.14585957306521,-817.4209176582248,141.01710971080357
Sun,-1907.2646997541508,-509.7554798311125,-2558.263561281155,-683.8751101496659
